Venue,Essential?
Café,
Afghan Restaurant,
American Restaurant,
Antique Shop,
Argentinian Restaurant,
Art Gallery,
Arts & Crafts Store,
Asian Restaurant,
Athletics & Sports,
Austrian Restaurant,
Auto Garage,
Bagel Shop,
Bakery,
Bar,
Baseball Field,
BBQ Joint,
Bed & Breakfast,
Beer Bar,
Beer Garden,
Beer Store,Essential
Bike Shop,Essential
Bistro,
Bookstore,Essential
Botanical Garden,
Boutique,
Bowling Alley,
Brasserie,
Brazilian Restaurant,
Breakfast Spot,
Brewery,
Buffet,
Burger Joint,
Burrito Place,
Bus Stop,Essential
Butcher,
Cajun / Creole Restaurant,
Canal,
Canal Lock,
Candy Store,Essential
Caribbean Restaurant,
Caucasian Restaurant,
Champagne Bar,
Cheese Shop,
Chinese Restaurant,
Chocolate Shop,
Church,Essential
Cigkofte Place,
Climbing Gym,Essential
Clothing Store,Essential
Cocktail Bar,
Coffee Roaster,
Coffee Shop,
College Cafeteria,
Comedy Club,Essential
Concert Hall,
Convenience Store,Essential
Cosmetics Shop,Essential
Creperie,
Cricket Ground,Essential
Cupcake Shop,
Cycle Studio,
Dance Studio,
Deli / Bodega,
Department Store,Essential
Dessert Shop,
Diner,
Discount Store,Essential
Distillery,
Dive Bar,
Donut Shop,
Dosa Place,
Dumpling Restaurant,
Eastern European Restaurant,
Electronics Store,Essential
Empanada Restaurant,
English Restaurant,
Event Space,
Exhibit,
Falafel Restaurant,
Farm,
Farmers Market,
Fast Food Restaurant,
Field,
Fish & Chips Shop,
Fish Market,
Flea Market,
Flower Shop,
Food & Drink Shop,
Food Court,
Food Stand,
Food Truck,
French Restaurant,
Fried Chicken Joint,
Fruit & Vegetable Store,Essential
Furniture / Home Store,Essential
Garden,Essential
Garden Center,
Gas Station,
Gastropub,
Gay Bar,
German Restaurant,
Gift Shop,Essential
Go Kart Track,
Golf Course,
Golf Driving Range,
Gourmet Shop,
Greek Restaurant,
Grocery Store,Essential
Gym,Essential
Gym / Fitness Center,Essential
Gymnastics Gym,Essential
Hardware Store,Essential
Hill,
Historic Site,
History Museum,
Hobby Shop,Essential
Hookah Bar,
Hostel,
Hotel,
Hotel Bar,
Hunan Restaurant,
Ice Cream Shop,
Indian Restaurant,
Indie Movie Theater,
Indie Theater,
Irish Pub,
Italian Restaurant,
Japanese Restaurant,
Jazz Club,
Jewelry Store,
Juice Bar,
Kebab Restaurant,
Korean Restaurant,
Latin American Restaurant,
Lebanese Restaurant,
Library,Essential
Light Rail Station,Essential
Liquor Store,Essential
Lounge,
Malay Restaurant,
Market,
Massage Studio,
Mediterranean Restaurant,
Memorial Site,Essential
Metro Station,Essential
Mexican Restaurant,
Middle Eastern Restaurant,
Military Base,
Mini Golf,
Mobile Phone Shop,
Modern European Restaurant,
Monument / Landmark,
Moroccan Restaurant,
Movie Theater,
Multiplex,
Museum,
Music Store,
Music Venue,
Nail Salon,
Nature Preserve,
Nightclub,
Noodle House,
North Indian Restaurant,
Observatory,
Opera House,
Optical Shop,Essential
Organic Grocery,Essential
Outdoor Gym,Essential
Outdoor Sculpture,
Outlet Mall,Essential
Paintball Field,
Palace,
Paper / Office Supplies Store,Essential
Park,Essential
Pedestrian Plaza,
Performing Arts Venue,
Persian Restaurant,
Peruvian Restaurant,
Pet Store,
Pharmacy,Essential
Pie Shop,
Pilates Studio,
Pizza Place,
Planetarium,
Platform,
Playground,Essential
Plaza,
Polish Restaurant,
Pool,
Portuguese Restaurant,
Pub,
Public Art,
Ramen Restaurant,
Record Shop,
Recording Studio,
Recreation Center,
Reservoir,
Residential Building (Apartment / Condo),
Restaurant,
River,
Road,
Rock Club,
Romanian Restaurant,
Roof Deck,
Rugby Stadium,
Salad Place,
Sandwich Place,
Scenic Lookout,
Seafood Restaurant,
Shopping Mall,Essential
Shopping Plaza,Essential
Skate Park,
Skating Rink,
Smoothie Shop,
Soccer Field,Essential
Soccer Stadium,
South American Restaurant,
South Indian Restaurant,
Southern / Soul Food Restaurant,
Spa,
Spanish Restaurant,
Speakeasy,
Sporting Goods Shop,Essential
Sports Bar,
Sports Club,
Sri Lankan Restaurant,
Stadium,
Stationery Store,Essential
Steakhouse,
Street Art,
Street Food Gathering,
Supermarket,Essential
Sushi Restaurant,
Tapas Restaurant,
Tea Room,
Tennis Court,
Thai Restaurant,
Theater,
Theme Park Ride / Attraction,
Thrift / Vintage Store,
Tiki Bar,
Tourist Information Center,
Toy / Game Store,
Track,
Trail,
Train Station,Essential
Tram Station,Essential
Tunnel,
Turkish Restaurant,
University,
Vegetarian / Vegan Restaurant,
Video Game Store,
Vietnamese Restaurant,
Warehouse Store,Essential
Waterfront,
Windmill,
Wine Bar,
Wine Shop,
Women's Store,Essential
Yoga Studio,
Zoo,
Zoo Exhibit,
